_step,reward/0,reward/1,reward/2,reward/3,reward/4,reward/5,reward/6,reward/7,reward/8,reward/9,reward/10,reward/11,reward/12,reward/13,reward/14,reward/15,reward/16,reward/17,reward/18,reward/19
500,4.418526649475098,5.533936500549316,4.7558159828186035,8.581147193908691,6.058785915374756,14.62944221496582,4.075293064117432,3.844822406768799,7.046289920806885,13.01979923248291,4.7562737464904785,4.3681416511535645,9.703014373779297,8.291359901428223,11.089012145996094,5.3339033126831055,5.1270365715026855,5.494579792022705,5.566815376281738,9.849413871765137
1000,4.910142421722412,4.867878437042236,4.329865455627441,9.995796203613281,6.309266567230225,9.88145637512207,6.586344242095947,6.131707668304443,6.073609352111816,3.83845853805542,4.618833541870117,8.00876235961914,5.401339054107666,7.118791580200195,14.451891899108887,6.305312156677246,6.033695220947266,4.64827299118042,8.687878608703613,13.930879592895508
1500,7.291734218597412,5.504239082336426,8.296536445617676,7.141329288482666,12.550010681152344,3.445164918899536,10.00986099243164,7.491195201873779,4.392895698547363,4.967935085296631,5.3549323081970215,12.1006498336792,7.859864234924316,9.00767993927002,6.862468242645264,10.023489952087402,11.275577545166016,6.732516765594482,7.426149845123291,6.824408531188965
2000,12.14362907409668,5.505630970001221,7.71737003326416,4.171511173248291,5.806781768798828,5.13316535949707,9.071228981018066,5.325186252593994,2.433673143386841,16.272979736328125,3.336613655090332,5.334158420562744,4.383986473083496,5.658817768096924,6.405367374420166,8.493538856506348,6.179259777069092,13.456193923950195,5.263596534729004,5.351914882659912
2500,3.373774290084839,11.988299369812012,9.54201889038086,5.839102745056152,7.138302803039551,5.56151819229126,6.44554328918457,5.893190383911133,5.762275218963623,4.927601337432861,4.969691753387451,5.984039306640625,7.967070579528809,5.613411903381348,5.8332977294921875,7.517563343048096,6.007242679595947,9.611921310424805,9.260152816772461,6.670145034790039
3000,6.407618045806885,7.771938800811768,18.525781631469727,5.421788692474365,13.184797286987305,14.747369766235352,11.124707221984863,8.243474960327148,10.167867660522461,5.832521438598633,4.89426326751709,4.693707466125488,4.693254470825195,4.764663219451904,8.202539443969727,6.714734077453613,11.874804496765137,4.730255126953125,11.191130638122559,4.227556228637695
3500,7.907365322113037,7.339233875274658,3.9820451736450195,7.077794075012207,9.018049240112305,4.6745219230651855,4.9251861572265625,9.423444747924805,4.137873649597168,6.065966606140137,9.1406831741333,5.303812026977539,15.573646545410156,14.228351593017578,3.963080644607544,9.263893127441406,8.707064628601074,6.041259288787842,8.547872543334961,8.960179328918457
4000,12.973926544189453,6.222601890563965,6.311496257781982,5.592691898345947,8.055134773254395,7.281901836395264,3.913243055343628,2.6721863746643066,6.4043498039245605,8.84792423248291,5.167477130889893,8.116232872009277,9.489913940429688,6.787850856781006,9.374550819396973,4.365258693695068,4.958099365234375,8.446314811706543,12.737977981567383,5.646816730499268
4500,8.720104217529297,12.49964427947998,4.184172630310059,10.08812141418457,11.953834533691406,4.944619655609131,7.434908390045166,16.51974105834961,18.800222396850586,10.393783569335938,6.146390914916992,8.083311080932617,13.783096313476562,4.4499006271362305,5.920535564422607,3.401090621948242,9.372785568237305,17.88934326171875,6.859833717346191,7.637150287628174
5000,6.410394191741943,5.922099590301514,4.585172653198242,4.329981327056885,8.948817253112793,6.938209056854248,11.301962852478027,14.64636516571045,15.865890502929688,6.612831115722656,3.5660130977630615,5.429464817047119,6.845920085906982,5.3536295890808105,5.995438098907471,15.96822738647461,10.717241287231445,6.166778564453125,5.199195384979248,5.402008533477783
5500,6.4583516120910645,6.795350074768066,8.840486526489258,15.391159057617188,5.961215019226074,11.097979545593262,9.861897468566895,11.139653205871582,13.271310806274414,8.87995719909668,6.524011611938477,6.177483558654785,12.215964317321777,4.813181400299072,12.774982452392578,15.6309814453125,12.19918441772461,16.10407066345215,11.201887130737305,4.2544264793396
6000,5.7457685470581055,10.513019561767578,8.92793083190918,7.901487350463867,4.6609721183776855,10.218485832214355,6.85545015335083,12.73365306854248,9.100081443786621,3.8372275829315186,4.751562595367432,4.729322910308838,4.791234493255615,10.8053560256958,8.037903785705566,6.674056529998779,12.940069198608398,8.697855949401855,11.503528594970703,7.7886810302734375
6500,8.46645736694336,9.08381175994873,6.489395618438721,13.029376029968262,6.42322301864624,8.188484191894531,5.706690788269043,12.974349021911621,11.406623840332031,4.760197162628174,7.722121715545654,6.876594066619873,16.426658630371094,16.797985076904297,7.775157451629639,4.913583278656006,7.348765850067139,15.026479721069336,6.7757368087768555,6.5368971824646
7000,4.776165008544922,16.821346282958984,9.199252128601074,8.436759948730469,6.621266841888428,3.994533061981201,6.278326988220215,11.300692558288574,12.25058364868164,4.1400465965271,9.409348487854004,4.035541534423828,4.020344257354736,7.596529006958008,16.11688804626465,6.764032363891602,15.202810287475586,5.623847007751465,5.202373027801514,8.431119918823242
7500,4.979803562164307,9.144660949707031,8.85211181640625,10.315510749816895,14.162504196166992,10.05013656616211,10.916631698608398,6.354866981506348,4.540475368499756,5.76989221572876,6.900820732116699,13.211980819702148,4.194212913513184,9.385274887084961,7.504601001739502,5.892662525177002,10.57476806640625,14.192157745361328,16.932373046875,7.168994426727295
8000,6.0065813064575195,9.323698997497559,21.43624496459961,10.089384078979492,6.329647541046143,5.931307792663574,8.827266693115234,11.939231872558594,7.982814311981201,10.570670127868652,21.37222671508789,9.818641662597656,4.572899341583252,12.462991714477539,15.140201568603516,5.454675197601318,6.26105260848999,9.661323547363281,8.548552513122559,6.992176055908203
8500,10.874698638916016,7.512897968292236,14.245536804199219,5.8226318359375,7.2283854484558105,22.20572280883789,5.1410112380981445,8.864831924438477,8.468218803405762,15.017407417297363,8.516209602355957,7.7238287925720215,8.108601570129395,4.929858684539795,9.389291763305664,8.651659965515137,5.030060768127441,4.9299516677856445,5.557718753814697,6.258665084838867
9000,5.73560094833374,15.292271614074707,4.268543720245361,5.763033866882324,7.5836100578308105,12.853753089904785,7.05834436416626,3.983062744140625,6.264159679412842,12.209314346313477,7.887750625610352,7.250304698944092,8.747466087341309,17.482545852661133,4.354821681976318,4.935546398162842,8.832103729248047,5.858703136444092,13.574505805969238,5.032308101654053
9500,5.5816264152526855,5.008852481842041,5.574756145477295,7.226365089416504,5.245655059814453,5.548294544219971,5.1140828132629395,5.040493011474609,11.012433052062988,11.599761962890625,20.632638931274414,10.890923500061035,7.367739200592041,7.915534973144531,10.060739517211914,8.282219886779785,4.589505672454834,13.277922630310059,5.390852451324463,6.134953498840332
10000,6.143470287322998,4.270078182220459,5.795100688934326,7.112346172332764,5.174015522003174,10.10440444946289,11.171904563903809,7.5895514488220215,6.188807964324951,10.114598274230957,6.2015204429626465,21.830520629882812,4.8764448165893555,9.952878952026367,6.334286212921143,4.747281074523926,8.383636474609375,6.574316024780273,5.887594699859619,13.011738777160645
