_step,reward/0,reward/1,reward/2,reward/3,reward/4,reward/5,reward/6,reward/7,reward/8,reward/9,reward/10,reward/11,reward/12,reward/13,reward/14,reward/15,reward/16,reward/17,reward/18,reward/19
500,3.7384979724884033,9.333495140075684,5.051578998565674,4.418184757232666,9.285013198852539,7.455750465393066,4.582773208618164,3.7895748615264893,4.023909091949463,5.622824668884277,4.371270656585693,4.479944229125977,6.111523151397705,9.854947090148926,6.418187141418457,8.531330108642578,8.928531646728516,9.125581741333008,4.68780517578125,5.045395851135254
1000,5.682332515716553,3.6680233478546143,6.0203728675842285,7.487490653991699,7.79789400100708,4.140356540679932,7.0430521965026855,6.790514945983887,5.959411144256592,5.907028675079346,5.685754776000977,4.82393741607666,3.429508924484253,6.635452747344971,4.52141809463501,6.802203178405762,6.078683853149414,5.461707592010498,4.624724864959717,4.689393043518066
1500,4.363776206970215,4.275777339935303,4.7643046379089355,7.962106227874756,7.184074878692627,5.502366542816162,5.463500499725342,4.633414268493652,6.177445411682129,5.932528972625732,7.015514373779297,5.252760410308838,8.049802780151367,4.581632137298584,9.320459365844727,6.256669044494629,3.894469738006592,5.508275032043457,6.7824883460998535,4.961271286010742
2000,7.108364105224609,3.4741532802581787,4.627290725708008,3.4788761138916016,11.429232597351074,5.623746395111084,5.6311116218566895,6.9758429527282715,5.7544755935668945,6.165687561035156,3.391864538192749,4.953877925872803,5.697315216064453,4.924692630767822,7.625885009765625,5.696074962615967,5.599352836608887,3.481931209564209,4.83454704284668,4.275871276855469
2500,8.666692733764648,7.459080219268799,6.864110946655273,8.42795467376709,8.212759017944336,3.590618848800659,4.375217437744141,6.944505214691162,5.7349090576171875,5.951097011566162,5.8642449378967285,4.185406684875488,4.486265659332275,4.270318508148193,4.139056205749512,5.572677135467529,4.757510662078857,6.516395092010498,5.503309726715088,3.7018396854400635
3000,6.0705084800720215,9.848838806152344,3.856743097305298,5.253749370574951,4.014442443847656,5.726683616638184,5.458919048309326,5.2564496994018555,4.461991310119629,5.786993026733398,4.592026710510254,7.349908351898193,3.6644673347473145,7.8088860511779785,6.139362812042236,5.510859489440918,7.355762958526611,5.1588521003723145,7.693304061889648,7.663105487823486
3500,3.9273018836975098,5.387739658355713,5.1984639167785645,5.367920398712158,9.949605941772461,5.092744827270508,6.9604878425598145,7.638513088226318,5.458139896392822,7.215009689331055,6.389099597930908,5.616501808166504,5.152617931365967,5.924219131469727,13.69201946258545,6.650081157684326,7.234180450439453,5.340810298919678,5.26318883895874,4.133926868438721
4000,7.5966033935546875,5.15958833694458,3.490830659866333,5.331235885620117,5.367112636566162,12.03129768371582,6.7336249351501465,4.853570461273193,5.3618483543396,8.366312980651855,2.9784586429595947,5.181169509887695,4.188958168029785,5.554461479187012,5.406859874725342,4.519969463348389,6.092926979064941,5.501241207122803,5.156936168670654,5.668302059173584
4500,3.7279915809631348,3.9023900032043457,6.660387992858887,4.907928466796875,7.153131484985352,6.160991191864014,6.3822407722473145,4.361731052398682,7.647240161895752,5.305714130401611,4.132925987243652,4.550058841705322,7.653768539428711,4.3363518714904785,5.715948104858398,6.998149394989014,7.26873779296875,5.867835521697998,5.366783142089844,6.1415839195251465
5000,6.72232723236084,5.594130992889404,6.084670543670654,5.463286876678467,3.9989919662475586,3.7965214252471924,9.305252075195312,7.379276752471924,7.2204365730285645,7.721920013427734,6.397372722625732,5.099066734313965,7.373966217041016,4.780512809753418,5.565252304077148,4.6134114265441895,7.032350063323975,5.952550888061523,4.504829406738281,3.8256778717041016
5500,5.4373273849487305,6.754644393920898,8.277641296386719,5.177660942077637,8.618794441223145,6.008285999298096,7.341513156890869,5.745144367218018,8.842455863952637,4.285125255584717,9.4232816696167,6.912630081176758,7.277590751647949,5.028600215911865,7.012669086456299,3.456798553466797,6.841019153594971,7.977388381958008,6.704754829406738,5.100957870483398
6000,5.075400352478027,5.527280807495117,6.141923904418945,5.180749893188477,9.084148406982422,4.494641304016113,6.397256374359131,3.7150537967681885,8.700833320617676,5.764815330505371,7.240006446838379,5.397609710693359,4.959403038024902,9.04770565032959,4.759627342224121,5.152777671813965,7.229011058807373,9.857553482055664,8.64848804473877,7.537697792053223
6500,9.864038467407227,6.139096260070801,7.706000328063965,4.8486247062683105,4.204648971557617,8.750468254089355,4.360189437866211,4.4116950035095215,10.02625846862793,10.415060043334961,8.533172607421875,6.4776611328125,9.65310287475586,3.8805010318756104,12.366286277770996,5.731540679931641,4.5545878410339355,8.949626922607422,6.451927661895752,5.091979503631592
7000,9.686813354492188,11.031312942504883,5.746273517608643,5.126888751983643,4.70750093460083,6.135487079620361,6.037515640258789,5.0652756690979,8.870668411254883,8.263466835021973,7.974655628204346,5.627075672149658,4.726655006408691,10.547259330749512,3.3437018394470215,6.766624450683594,5.638209342956543,7.077342510223389,4.609952926635742,9.155524253845215
