_step,reward/0,reward/1,reward/2,reward/3,reward/4,reward/5,reward/6,reward/7,reward/8,reward/9
500,22.645185470581055,28.361103057861328,26.13775062561035,33.436546325683594,28.218198776245117,23.71537208557129,32.738243103027344,28.30265998840332,19.56205940246582,21.97336196899414
1000,23.1958065032959,22.823745727539062,19.670520782470703,23.394607543945312,17.807409286499023,32.432106018066406,23.2473201751709,12.903996467590332,24.561208724975586,30.41021156311035
1500,18.7646484375,32.6921501159668,32.639766693115234,28.67622947692871,27.90442657470703,27.851699829101562,19.82627296447754,20.315378189086914,20.72499656677246,23.081125259399414
2000,21.926355361938477,37.02432632446289,26.194334030151367,21.620704650878906,24.808168411254883,30.67389488220215,28.589601516723633,32.60929489135742,31.312776565551758,38.2674560546875
2500,18.9364013671875,22.55097770690918,20.168853759765625,27.469179153442383,38.49778747558594,24.71369743347168,30.544803619384766,22.30666732788086,18.759584426879883,36.5889778137207
3000,45.66997146606445,25.877443313598633,23.937862396240234,17.603315353393555,23.098800659179688,45.230224609375,28.996936798095703,19.207286834716797,36.216766357421875,27.48155403137207
3500,21.81430435180664,25.69768524169922,25.956382751464844,27.613014221191406,22.028152465820312,32.31914138793945,29.611156463623047,37.02642822265625,23.00170135498047,20.221298217773438
4000,18.834421157836914,17.374914169311523,23.133155822753906,29.898887634277344,34.63639831542969,33.72328186035156,24.101816177368164,28.353654861450195,23.38488006591797,21.485654830932617
4500,14.72852611541748,18.482280731201172,25.274011611938477,20.990041732788086,29.883079528808594,15.57065200805664,27.533039093017578,21.75572395324707,22.619718551635742,17.47828483581543
5000,31.524370193481445,33.41669845581055,25.139070510864258,22.94686508178711,18.436073303222656,29.727848052978516,19.38652229309082,19.406253814697266,41.27661895751953,26.839040756225586
5500,29.009689331054688,44.44751739501953,41.44804382324219,34.31223678588867,42.73569107055664,25.801286697387695,32.5434455871582,35.018096923828125,33.00830078125,38.84142303466797
6000,37.32032012939453,35.664588928222656,36.23292922973633,35.0185546875,32.92951965332031,23.49437141418457,23.288930892944336,40.70794677734375,30.286949157714844,22.00289535522461
6500,27.217294692993164,23.032855987548828,39.24346923828125,42.067256927490234,29.244508743286133,34.79539489746094,57.47502899169922,25.333154678344727,32.75843811035156,42.78204345703125
7000,50.2569694519043,57.02334213256836,28.692153930664062,29.93752670288086,25.07707977294922,22.997861862182617,42.4176025390625,25.488605499267578,19.557222366333008,47.89287185668945
7500,34.72800064086914,39.99604415893555,36.35451889038086,35.465145111083984,50.12025833129883,19.293500900268555,51.222930908203125,39.90743637084961,43.92515182495117,36.99278259277344
8000,81.07259368896484,32.81890869140625,33.8648796081543,30.526065826416016,36.01089096069336,41.411014556884766,43.935768127441406,25.794614791870117,27.50153160095215,28.846635818481445
8500,50.97520446777344,30.572656631469727,26.596389770507812,35.43306350708008,56.04551696777344,45.2003059387207,44.902626037597656,53.145198822021484,32.629146575927734,31.336244583129883
9000,25.459238052368164,39.591495513916016,32.665687561035156,26.334684371948242,32.498470306396484,33.48202133178711,19.497133255004883,60.9141731262207,56.65451431274414,56.2530517578125
9500,44.0864143371582,27.670228958129883,63.13318634033203,34.238834381103516,31.847135543823242,29.20947265625,45.41789245605469,55.28611373901367,29.443220138549805,13.514479637145996
10000,41.48707580566406,40.291114807128906,35.863548278808594,37.79185485839844,56.965702056884766,32.473655700683594,31.707197189331055,53.42845153808594,53.12450408935547,29.58527183532715
10500,34.32880401611328,34.87358093261719,46.357513427734375,25.117507934570312,50.47669982910156,40.45293426513672,36.113399505615234,37.45546340942383,59.47358322143555,39.63029479980469
11000,27.19833755493164,40.143070220947266,28.955249786376953,54.124000549316406,31.99939727783203,27.730934143066406,45.394874572753906,77.03274536132812,38.59429168701172,19.677114486694336
11500,51.15879440307617,31.08169937133789,51.46420669555664,36.98624801635742,28.680423736572266,28.771282196044922,34.305599212646484,48.830265045166016,44.06259536743164,38.764076232910156
12000,52.66402053833008,40.79680633544922,52.318267822265625,34.44601821899414,27.446334838867188,28.002601623535156,30.14510154724121,94.62440490722656,27.53404998779297,25.750009536743164
12500,98.93399810791016,28.932682037353516,31.561437606811523,25.46198081970215,47.325721740722656,36.07536697387695,36.97234344482422,40.127227783203125,41.101741790771484,25.599031448364258
13000,66.4059066772461,38.29487609863281,37.01801681518555,26.07359504699707,44.57341766357422,30.837125778198242,31.914039611816406,52.97829818725586,45.85710525512695,24.433815002441406
13500,61.90529251098633,46.86283874511719,60.22343444824219,51.95585632324219,51.201290130615234,41.65901184082031,47.151458740234375,39.01069641113281,43.30118942260742,50.21248245239258
14000,77.9186782836914,31.130157470703125,60.98365783691406,38.45756149291992,42.224098205566406,37.5974006652832,29.636638641357422,71.60725402832031,37.704044342041016,65.98566436767578
14500,67.12211608886719,39.73553466796875,34.47713851928711,24.880056381225586,63.98196792602539,36.490875244140625,67.94688415527344,67.46235656738281,43.21058654785156,42.26094436645508
15000,78.59913635253906,39.03003692626953,70.9088134765625,41.27912521362305,86.75914001464844,49.951332092285156,48.7727165222168,93.2203598022461,33.1296501159668,63.82194900512695
15500,46.282989501953125,100.8311767578125,41.08004379272461,46.79522705078125,61.35786056518555,40.206790924072266,33.42677688598633,80.28240203857422,45.17326354980469,51.36574935913086
16000,72.60350799560547,27.155057907104492,41.489707946777344,42.30448532104492,46.9361457824707,47.10587692260742,45.62822341918945,36.253173828125,85.11150360107422,29.03302764892578
16500,44.87466049194336,47.08969497680664,48.22023391723633,34.25262451171875,57.58340072631836,61.10567092895508,74.8643798828125,91.46280670166016,83.99226379394531,46.91263198852539
17000,85.62259674072266,29.933406829833984,41.881324768066406,39.255123138427734,51.9515380859375,57.02808380126953,32.32475280761719,66.7522964477539,60.10396194458008,22.98285675048828
17500,39.169586181640625,50.280914306640625,55.75045394897461,43.92667007446289,74.7044448852539,53.683719635009766,59.28897476196289,100.53520202636719,49.71756362915039,63.127479553222656
18000,53.9762077331543,46.3105354309082,63.1140022277832,56.73908996582031,62.023006439208984,65.21914672851562,40.42943572998047,119.37226104736328,66.49246215820312,37.22689437866211
18500,70.51243591308594,31.423507690429688,48.221656799316406,51.52825164794922,51.46802520751953,47.45781326293945,99.47312927246094,79.2027359008789,66.99500274658203,64.26492309570312
19000,77.64408111572266,40.6754150390625,41.29546356201172,47.543338775634766,66.5242691040039,44.53044891357422,64.05047607421875,101.79771423339844,76.25708770751953,40.042091369628906
19500,72.14469146728516,49.572593688964844,67.5255126953125,47.414031982421875,58.0410041809082,48.43894577026367,70.08219909667969,94.7032470703125,97.567626953125,50.881046295166016
20000,41.150054931640625,40.74138641357422,37.870277404785156,43.33556365966797,46.304927825927734,53.44232177734375,63.627952575683594,86.40080261230469,62.2698860168457,35.45552062988281
20500,35.69081497192383,58.338294982910156,71.0804214477539,55.33028793334961,40.98135757446289,56.28962326049805,84.25770568847656,120.40026092529297,44.35988998413086,35.626556396484375
21000,72.83126068115234,37.40126037597656,100.38191223144531,49.792999267578125,64.04444885253906,47.77608108520508,89.06668090820312,101.65108489990234,56.76020050048828,51.88450241088867
21500,58.942962646484375,63.35232162475586,89.86922454833984,60.573482513427734,47.86518096923828,65.68683624267578,62.810768127441406,55.03523254394531,124.53643798828125,61.29814147949219
22000,65.63875579833984,57.5745735168457,73.24311828613281,63.001792907714844,61.11308288574219,72.48526000976562,84.41111755371094,84.74563598632812,86.51092529296875,55.71080017089844
22500,94.82894897460938,80.16177368164062,78.61389923095703,66.40827178955078,73.80410766601562,74.90238952636719,71.2043685913086,115.90778350830078,101.13310241699219,45.900569915771484
23000,129.20143127441406,74.50586700439453,53.05706787109375,57.83366012573242,53.57610321044922,54.3209114074707,82.1693344116211,75.0298080444336,66.61034393310547,82.5516128540039
23500,143.19361877441406,58.29752731323242,98.16111755371094,82.8899154663086,45.13371276855469,68.20597076416016,88.11375427246094,111.84716033935547,77.4627685546875,49.81794357299805
24000,68.74944305419922,108.23275756835938,73.1175537109375,88.48611450195312,82.32041931152344,68.4648208618164,75.20528411865234,65.22189331054688,80.83232879638672,80.67557525634766
24500,66.5753402709961,90.37743377685547,81.84545135498047,52.97507095336914,89.23280334472656,81.06077575683594,96.91101837158203,146.79527282714844,95.83932495117188,66.06330871582031
25000,25.4289493560791,70.20750427246094,74.85059356689453,68.84353637695312,59.52516174316406,57.48842239379883,54.87388610839844,71.35830688476562,91.91404724121094,39.869728088378906
25500,73.23736572265625,81.0657730102539,119.05037689208984,91.32487487792969,69.72688293457031,99.6835708618164,75.44889068603516,90.57737731933594,94.05805206298828,47.72126007080078
26000,55.60639190673828,88.81404876708984,85.02923583984375,89.96401977539062,67.02073669433594,72.02246856689453,56.021507263183594,109.33198547363281,94.08660125732422,68.3338623046875
26500,55.04663848876953,76.50897216796875,97.77533721923828,74.08087158203125,92.7873306274414,83.74750518798828,92.45195770263672,56.82949447631836,88.79871368408203,85.44202423095703
27000,83.36275482177734,73.93770599365234,127.34598541259766,96.1104736328125,85.93333435058594,64.71741485595703,107.77213287353516,100.78817749023438,83.76558685302734,86.91348266601562
27500,92.56371307373047,95.23318481445312,94.34152221679688,88.55913543701172,86.1025390625,80.96710205078125,101.04574584960938,90.16898345947266,102.05834197998047,89.5445556640625
28000,106.06875610351562,87.99285125732422,134.8218536376953,65.28784942626953,93.04735565185547,91.98390197753906,83.50470733642578,87.94705963134766,88.25949096679688,88.91876220703125
28500,118.37577819824219,134.12965393066406,115.26143646240234,67.74365997314453,80.21635437011719,87.69163513183594,89.42936706542969,73.84233093261719,109.34432983398438,85.32594299316406
29000,90.89300537109375,102.79560852050781,89.20732116699219,60.13726043701172,84.29985809326172,123.06975555419922,76.52650451660156,68.60215759277344,124.61888122558594,74.3909912109375
29500,100.62705993652344,69.37355041503906,113.6421890258789,76.30170440673828,116.9824447631836,94.14347076416016,71.19252014160156,85.28376007080078,129.21005249023438,78.96495056152344
30000,121.30558776855469,51.96218490600586,109.10274505615234,72.9186019897461,69.76884460449219,129.9159698486328,75.14016723632812,127.6060791015625,103.25192260742188,102.71378326416016
