env_step,episode_reward,env,seed,agent
1900000.0,930.587664794922,dog-stand,1,iQRL
2000000.0,943.4077514648436,dog-stand,1,iQRL
2100000.0,960.8119140625,dog-stand,1,iQRL
2200000.0,964.7757934570312,dog-stand,1,iQRL
2300000.0,965.9298095703124,dog-stand,1,iQRL
2400000.0,957.8498107910156,dog-stand,1,iQRL
2500000.0,951.9396911621094,dog-stand,1,iQRL
2600000.0,949.907177734375,dog-stand,1,iQRL
2700000.0,959.4152954101562,dog-stand,1,iQRL
2800000.0,953.965771484375,dog-stand,1,iQRL
2900000.0,957.789794921875,dog-stand,1,iQRL
3000000.0,972.0008911132812,dog-stand,1,iQRL
100000.0,303.0786560058594,dog-stand,2,iQRL
200000.0,534.4337982177734,dog-stand,2,iQRL
300000.0,739.0673095703125,dog-stand,2,iQRL
400000.0,851.1027770996094,dog-stand,2,iQRL
500000.0,899.5718566894532,dog-stand,2,iQRL
600000.0,928.1732788085938,dog-stand,2,iQRL
700000.0,928.1034240722656,dog-stand,2,iQRL
800000.0,926.670635986328,dog-stand,2,iQRL
900000.0,940.6634399414064,dog-stand,2,iQRL
1000000.0,952.1736938476564,dog-stand,2,iQRL
1100000.0,947.9676940917968,dog-stand,2,iQRL
1200000.0,956.6118225097656,dog-stand,2,iQRL
1300000.0,950.5526428222656,dog-stand,2,iQRL
1400000.0,970.2602905273436,dog-stand,2,iQRL
1500000.0,972.1912658691406,dog-stand,2,iQRL
1600000.0,967.5099426269531,dog-stand,2,iQRL
1700000.0,963.7974548339844,dog-stand,2,iQRL
1800000.0,971.2948852539064,dog-stand,2,iQRL
1900000.0,969.2810363769532,dog-stand,2,iQRL
2000000.0,967.3124633789064,dog-stand,2,iQRL
2100000.0,979.6741943359376,dog-stand,2,iQRL
2200000.0,956.6744995117188,dog-stand,2,iQRL
2300000.0,980.0578735351562,dog-stand,2,iQRL
2400000.0,981.1219360351564,dog-stand,2,iQRL
2500000.0,976.9751037597656,dog-stand,2,iQRL
2600000.0,965.9939025878906,dog-stand,2,iQRL
2700000.0,964.5900085449218,dog-stand,2,iQRL
2800000.0,983.1633056640624,dog-stand,2,iQRL
2900000.0,986.9539611816406,dog-stand,2,iQRL
3000000.0,965.5420776367188,dog-stand,2,iQRL
100000.0,210.64696350097657,dog-stand,3,iQRL
200000.0,536.987191772461,dog-stand,3,iQRL
300000.0,792.3749328613281,dog-stand,3,iQRL
400000.0,855.1653869628906,dog-stand,3,iQRL
500000.0,872.7958862304688,dog-stand,3,iQRL
600000.0,890.440673828125,dog-stand,3,iQRL
700000.0,899.4696228027344,dog-stand,3,iQRL
800000.0,894.4922119140625,dog-stand,3,iQRL
900000.0,926.3468811035156,dog-stand,3,iQRL
1000000.0,927.7632873535156,dog-stand,3,iQRL
1100000.0,915.5139526367188,dog-stand,3,iQRL
1200000.0,935.5674743652344,dog-stand,3,iQRL
1300000.0,949.0997253417968,dog-stand,3,iQRL
1400000.0,945.0014892578124,dog-stand,3,iQRL
1500000.0,931.501922607422,dog-stand,3,iQRL
1600000.0,933.184912109375,dog-stand,3,iQRL
1700000.0,948.4587524414062,dog-stand,3,iQRL
1800000.0,949.0651306152344,dog-stand,3,iQRL
1900000.0,945.0571228027344,dog-stand,3,iQRL
2000000.0,946.3667175292968,dog-stand,3,iQRL
2100000.0,961.0299682617188,dog-stand,3,iQRL
2200000.0,953.7513671875,dog-stand,3,iQRL
2300000.0,953.1342346191408,dog-stand,3,iQRL
2400000.0,936.543487548828,dog-stand,3,iQRL
2500000.0,957.7944213867188,dog-stand,3,iQRL
2600000.0,955.9552795410156,dog-stand,3,iQRL
2700000.0,952.945379638672,dog-stand,3,iQRL
2800000.0,954.6279113769532,dog-stand,3,iQRL
2900000.0,952.9114440917969,dog-stand,3,iQRL
3000000.0,966.3040771484376,dog-stand,3,iQRL
100000.0,15.434422612190248,dog-trot,1,iQRL
200000.0,28.630316972732544,dog-trot,1,iQRL
300000.0,108.63026580810546,dog-trot,1,iQRL
400000.0,252.09649353027345,dog-trot,1,iQRL
500000.0,402.9364593505859,dog-trot,1,iQRL
600000.0,520.3372100830078,dog-trot,1,iQRL
700000.0,683.7625732421875,dog-trot,1,iQRL
800000.0,680.9105163574219,dog-trot,1,iQRL
900000.0,803.4717956542969,dog-trot,1,iQRL
1000000.0,800.4269104003906,dog-trot,1,iQRL
1100000.0,787.3929809570312,dog-trot,1,iQRL
1200000.0,805.3622375488281,dog-trot,1,iQRL
1300000.0,836.6266662597657,dog-trot,1,iQRL
1400000.0,827.4311950683593,dog-trot,1,iQRL
1500000.0,827.3681335449219,dog-trot,1,iQRL
1600000.0,843.4059753417969,dog-trot,1,iQRL
1700000.0,833.0234985351562,dog-trot,1,iQRL
1800000.0,836.8088623046875,dog-trot,1,iQRL
1900000.0,850.8396728515625,dog-trot,1,iQRL
2000000.0,855.0255493164062,dog-trot,1,iQRL
2100000.0,855.4737487792969,dog-trot,1,iQRL
2200000.0,858.9983520507812,dog-trot,1,iQRL
