eval/return/gp4l2ivh,eval/return/ge9g52nx,eval/return/um3l84rh,eval/return/q35027ir,eval/return/9codo7mc,eval/return/2xdqeiot,eval/return/a2f5wdsv,eval/return/7jpwvc9p,eval/return/tpu3uqm6,eval/return/k25p0bd2,step,wallclock
668.805908203125,36.48222351074219,757.6129760742188,504.6227722167969,621.97998046875,-440.53515625,-197.72808837890625,605.365234375,338.2259216308594,-8.995594024658203,1.0,0.0
44.28783416748047,-2.8922019004821777,-138.9481658935547,-25.19721031188965,-53.05636215209961,-198.25009155273438,-23.185558319091797,-20.120445251464844,-260.24853515625,-76.71257781982422,16666.0,0.0031053166077092843
102.78809356689453,-0.7848129868507385,-66.97265625,52.456146240234375,104.94745635986328,225.58547973632812,205.0493927001953,48.298194885253906,28.50090217590332,678.9790649414062,33332.0,0.0062106332154185685
673.6869506835938,67.99923706054688,54.04536437988281,671.2001342773438,552.97509765625,702.68017578125,352.3472595214844,640.9168701171875,748.650634765625,19.535694122314453,49998.0,0.009315949823127853
254.88038635253906,749.2047119140625,155.41387939453125,36.18783950805664,152.85269165039062,866.7393188476562,299.3007507324219,652.6395874023438,135.99127197265625,787.6636962890625,66664.0,0.012421266430837137
228.4383544921875,845.931884765625,682.9520263671875,27.872554779052734,820.7963256835938,37.13653564453125,717.0347290039062,293.6669616699219,375.35369873046875,805.0189208984375,83330.0,0.015526583038546421
957.9033813476562,435.8558044433594,286.315673828125,1053.73681640625,626.4674682617188,1601.4696044921875,66.5257568359375,65.70303344726562,1211.2884521484375,1167.2113037109375,99996.0,0.018631899646255706
27.20500946044922,1501.4677734375,868.3574829101562,632.4993896484375,239.43748474121094,205.3885955810547,43.05239486694336,1901.9215087890625,821.1632690429688,1093.9947509765625,116662.0,0.02173721625396499
952.1436767578125,3012.6328125,1236.5206298828125,949.691162109375,904.9110717773438,612.0221557617188,1054.4876708984375,393.76116943359375,632.7578735351562,298.9856262207031,133328.0,0.024842532861674274
2141.861083984375,588.5189208984375,2202.062744140625,1213.6314697265625,900.7649536132812,2931.2275390625,87.73261260986328,319.8216247558594,1331.248779296875,324.0892028808594,149994.0,0.027947849469383557
951.0995483398438,4192.150390625,2762.0595703125,1356.574951171875,256.74395751953125,3296.544677734375,2208.5078125,2671.163330078125,252.45481872558594,99.9510726928711,166660.0,0.031053166077092843
906.1948852539062,346.853759765625,2595.240234375,1789.3907470703125,2268.751953125,1238.4207763671875,396.7903747558594,853.4191284179688,815.0632934570312,119.4469223022461,183326.0,0.03415848268480213
1796.1131591796875,3696.013671875,1190.91455078125,808.4472045898438,2129.1123046875,3735.6953125,2243.918212890625,3882.840087890625,818.4107055664062,2659.972900390625,199992.0,0.03726379929251141
629.3609619140625,4491.68212890625,2910.8017578125,1977.5848388671875,1158.7274169921875,4186.3837890625,827.7384643554688,4254.3046875,3413.079345703125,3046.290771484375,216658.0,0.040369115900220694
1463.1368408203125,4837.2431640625,4139.95556640625,1381.8751220703125,1949.8966064453125,4394.86328125,1165.689697265625,3552.575439453125,3623.072509765625,3146.4775390625,233324.0,0.04347443250792998
3309.24951171875,1697.008544921875,2305.512939453125,867.7863159179688,152.44956970214844,4769.88134765625,1162.968505859375,358.19061279296875,2232.22607421875,3562.69921875,249990.0,0.046579749115639266
4088.268798828125,5370.62109375,4184.27490234375,4724.63427734375,3101.263916015625,4767.359375,1835.1202392578125,4791.03125,4260.53564453125,914.7041015625,266656.0,0.04968506572334855
3673.7021484375,4919.9072265625,4546.748046875,4589.21533203125,3659.09375,273.6887512207031,1706.09619140625,4605.8310546875,4378.1943359375,4094.053466796875,283322.0,0.05279038233105783
4466.79345703125,5551.1904296875,1037.3270263671875,4555.72119140625,886.0460815429688,4746.42724609375,2973.47607421875,2280.115966796875,4748.57763671875,4079.0859375,299988.0,0.05589569893876711
4449.19677734375,5420.13427734375,4543.86962890625,3593.078857421875,4409.56689453125,4994.01416015625,956.04736328125,5247.79736328125,4926.2724609375,4109.7744140625,316654.0,0.0590010155464764
2241.815185546875,5453.001953125,4873.32958984375,4678.49267578125,4253.7060546875,4574.7119140625,2152.657470703125,5005.40673828125,5241.3515625,4563.9599609375,333320.0,0.062106332154185685
1055.3975830078125,5552.44091796875,5324.21240234375,5096.994140625,4363.11767578125,4910.49560546875,1879.40576171875,4906.49169921875,-584.57080078125,1538.55078125,349986.0,0.06521164876189497
5282.65380859375,5670.52783203125,34.52693557739258,56.569366455078125,-747.305419921875,107.44917297363281,2955.82275390625,5240.74267578125,5211.55712890625,4462.69580078125,366652.0,0.06831696536960426
5124.76953125,5241.46630859375,4976.9765625,4932.3916015625,899.4783935546875,3723.294921875,3247.54931640625,5304.01953125,5004.09326171875,4746.93212890625,383318.0,0.07142228197731354
5290.6982421875,779.6207885742188,1898.744873046875,5241.66796875,4288.3857421875,350.2393798828125,2225.04736328125,258.9285583496094,96.51505279541016,4985.56494140625,399984.0,0.07452759858502282
5369.41455078125,5540.43798828125,-848.2437133789062,-1696.1134033203125,4863.4921875,5278.5390625,3601.7109375,5100.13134765625,5158.67333984375,5248.12744140625,416650.0,0.0776329151927321
1258.935302734375,5517.19677734375,928.032470703125,5597.57470703125,4762.3232421875,5327.93701171875,38.55356216430664,5311.03955078125,4912.6201171875,4908.67626953125,433316.0,0.08073823180044139
5630.68212890625,6028.4755859375,4708.1376953125,5720.724609375,4834.66796875,5413.048828125,3669.111572265625,5654.50439453125,5095.7236328125,5171.798828125,449982.0,0.08384354840815067
5698.875,5484.73779296875,5060.59423828125,5506.505859375,5081.33740234375,5199.92822265625,3479.55517578125,5658.7890625,5262.556640625,5261.28857421875,466648.0,0.08694886501585997
5577.41650390625,5564.953125,5177.345703125,2483.622314453125,5039.2802734375,5509.2763671875,2487.632568359375,5779.11376953125,5156.62548828125,5393.42626953125,483314.0,0.09005418162356925
5790.642578125,6041.60791015625,4525.61328125,5801.75244140625,4942.66259765625,5527.74951171875,636.1558227539062,5670.06884765625,5273.18896484375,5494.158203125,499980.0,0.09315949823127853
5633.5185546875,6054.47216796875,5391.45361328125,5464.08837890625,5393.0205078125,3439.343994140625,3648.685791015625,5783.80712890625,4992.58984375,5560.93408203125,516646.0,0.09626481483898781
5805.58447265625,5978.392578125,5431.0517578125,5405.2158203125,1382.025146484375,1357.3363037109375,3674.548095703125,5769.36376953125,5225.76123046875,5129.248046875,533312.0,0.0993701314466971
6127.634765625,6022.41748046875,5525.2060546875,5606.23681640625,5246.673828125,5197.029296875,1455.8079833984375,5933.03369140625,5514.5888671875,5377.8955078125,549978.0,0.10247544805440638
6058.3740234375,6058.58203125,5611.75390625,5745.86865234375,3514.913330078125,5781.9794921875,3643.453857421875,5829.76513671875,2537.262939453125,5552.25244140625,566644.0,0.10558076466211566
5844.08447265625,6026.68798828125,5539.14990234375,1082.0618896484375,5078.3125,5619.99560546875,3503.828125,5905.806640625,5428.67236328125,-77.33647155761719,583310.0,0.10868608126982494
5868.48486328125,668.6973266601562,5550.587890625,5942.72705078125,5506.0947265625,5778.45751953125,3843.639404296875,5907.97998046875,5614.7119140625,2554.328857421875,599976.0,0.11179139787753423
5905.43310546875,6187.7841796875,4142.69189453125,6055.96484375,5399.44384765625,5860.56640625,3616.796875,5845.8701171875,3953.02880859375,5421.66845703125,616642.0,0.11489671448524352
5927.38671875,5921.73583984375,5543.345703125,5845.40087890625,5581.0517578125,5735.32763671875,2028.161865234375,6104.03955078125,5398.29052734375,5246.73388671875,633308.0,0.1180020310929528
6199.12890625,6254.03125,4221.5302734375,5978.03857421875,5490.01220703125,5751.13232421875,3712.385009765625,5967.73876953125,5611.8291015625,93.45008087158203,649974.0,0.12110734770066209
