eval/return/2unzgmic,eval/return/oyjbbtoz,eval/return/2v53e6ll,eval/return/ksmq1az3,eval/return/bdg6vbhz,eval/return/uylqajfa,eval/return/mzxdfi4y,eval/return/pui2k4q6,eval/return/euaqhaad,eval/return/crfjo9kl,step,wallclock
261.69378662109375,132.322509765625,66.76133728027344,165.4729461669922,76.56124114990234,76.39790344238281,76.94709777832031,71.61188507080078,121.80447387695312,71.54074096679688,1.0,0.0
476.8337097167969,546.1049194335938,279.0821533203125,363.223876953125,369.35504150390625,309.10626220703125,463.9072570800781,395.8117370605469,485.4389343261719,362.1434020996094,16666.0,0.007299957894506278
387.98480224609375,518.1015014648438,450.56829833984375,259.30047607421875,505.31658935546875,358.4958190917969,465.5656433105469,585.2266845703125,324.6608581542969,535.8861694335938,33332.0,0.014599915789012556
469.9643859863281,425.5201721191406,410.0272216796875,422.35382080078125,693.814453125,337.9429931640625,573.1597900390625,479.8460998535156,511.227294921875,490.68701171875,49998.0,0.021899873683518836
315.70294189453125,535.995361328125,909.823974609375,494.8706359863281,586.4551391601562,521.1312255859375,458.92626953125,449.3717346191406,526.0654907226562,459.865234375,66664.0,0.029199831578025113
339.3721618652344,989.457763671875,578.046875,748.0621337890625,628.3419189453125,652.6036987304688,503.28472900390625,462.56304931640625,514.7734985351562,523.7380981445312,83330.0,0.036499789472531394
855.8877563476562,665.9447631835938,665.3291015625,857.9661254882812,425.7420959472656,491.7490234375,466.1212158203125,883.4801635742188,515.6146850585938,493.5760192871094,99996.0,0.04379974736703767
568.0364379882812,1010.8232421875,795.274169921875,661.0807495117188,1298.78515625,1033.8988037109375,656.3345336914062,527.6179809570312,417.8701171875,773.6954345703125,116662.0,0.05109970526154395
1270.979248046875,606.4735717773438,630.6190185546875,458.9555358886719,577.2821655273438,825.0217895507812,542.5620727539062,590.5945434570312,499.9205322265625,623.85498046875,133328.0,0.058399663156050226
768.6749267578125,463.974365234375,1103.6131591796875,806.1522827148438,923.5368041992188,899.8800659179688,756.64697265625,599.301513671875,586.125244140625,591.2293701171875,149994.0,0.0656996210505565
1359.4344482421875,567.8868408203125,496.275390625,1249.6746826171875,608.0786743164062,701.1900024414062,988.2705078125,427.82098388671875,524.6817016601562,827.9562377929688,166660.0,0.07299957894506279
792.5252075195312,1018.4443969726562,884.3009033203125,1592.9205322265625,702.122314453125,1551.2926025390625,440.7331237792969,832.8436279296875,551.6680297851562,1564.9417724609375,183326.0,0.08029953683956906
438.3468322753906,1294.890625,709.879638671875,2071.615478515625,682.5451049804688,884.5055541992188,1090.5948486328125,1374.2298583984375,728.4718627929688,668.899169921875,199992.0,0.08759949473407534
1085.45068359375,768.252685546875,619.1381225585938,623.3698120117188,996.37646484375,733.565673828125,494.03839111328125,1651.4737548828125,609.5262451171875,1094.8160400390625,216658.0,0.09489945262858161
1763.41064453125,1337.016357421875,710.31591796875,857.246826171875,807.47119140625,739.2949829101562,756.929443359375,1082.11279296875,771.1859130859375,892.5800170898438,233324.0,0.1021994105230879
1707.863037109375,1430.374267578125,674.0048828125,3705.180419921875,709.69921875,932.8329467773438,770.7217407226562,1147.49462890625,1339.126953125,1036.61328125,249990.0,0.10949936841759417
727.2849731445312,1819.6279296875,926.070068359375,4248.37060546875,1663.2757568359375,881.0173950195312,1183.1253662109375,1394.965087890625,633.2521362304688,2191.191650390625,266656.0,0.11679932631210045
1407.988037109375,597.3785400390625,587.902099609375,5462.6171875,1257.7044677734375,720.1094360351562,754.7506103515625,836.1821899414062,1948.63232421875,1584.4619140625,283322.0,0.12409928420660674
1502.8089599609375,2151.65576171875,2030.3846435546875,5376.115234375,4122.90771484375,1657.5958251953125,2043.2608642578125,5273.16015625,942.8025512695312,5046.85107421875,299988.0,0.131399242101113
1885.501953125,2545.4345703125,5052.2861328125,5368.20458984375,1592.0614013671875,2011.6519775390625,1797.012939453125,894.2041015625,546.101318359375,5081.28564453125,316654.0,0.13869919999561928
2727.814697265625,2080.74365234375,5121.36962890625,5163.87841796875,530.27685546875,1372.8345947265625,2342.17626953125,569.6602783203125,1025.0208740234375,5199.8046875,333320.0,0.14599915789012557
2638.726318359375,1432.7445068359375,4046.00341796875,5313.970703125,3431.5703125,2628.3671875,5249.24560546875,499.83160400390625,1345.313720703125,3310.357177734375,349986.0,0.15329911578463185
5230.10546875,4712.33642578125,5172.49267578125,5456.87060546875,2438.40087890625,1319.408447265625,1852.2479248046875,222.92115783691406,2480.81298828125,5037.92236328125,366652.0,0.16059907367913812
