eval/return/x1f2trra,eval/return/wu62e70u,eval/return/rpme6gc1,eval/return/o0naydrt,eval/return/ay38igga,eval/return/ovigzt0h,eval/return/lrgdwhpn,eval/return/dow2i9br,eval/return/9nruyw6u,eval/return/dw4pzyrs,step,wallclock
-54.76814651489258,-349.9018249511719,-45.441226959228516,-264.1157531738281,-225.01516723632812,-427.7042541503906,-124.42304229736328,-375.6905517578125,-187.916015625,-1059.8995361328125,1.0,0.0
1089.5811767578125,349.301513671875,767.517333984375,566.854248046875,64.20580291748047,316.6772766113281,127.82624053955078,1173.290771484375,421.70013427734375,593.5782470703125,16666.0,0.0027069528416351035
3094.079345703125,3168.884521484375,2921.99365234375,1928.7001953125,2587.26220703125,2474.758544921875,3279.647705078125,2643.048095703125,971.1988525390625,2113.098876953125,33332.0,0.005413905683270207
4879.16943359375,4751.89404296875,3985.2470703125,3585.781494140625,4240.02099609375,4553.4697265625,4515.24072265625,4569.2998046875,3463.006103515625,3579.55078125,49998.0,0.00812085852490531
5382.61767578125,6611.10595703125,4720.3115234375,4406.8642578125,4547.19091796875,5292.12841796875,4921.84765625,4947.58740234375,3920.196044921875,4662.28271484375,66664.0,0.010827811366540414
5642.7734375,7196.041015625,5365.44775390625,4368.9296875,5428.10595703125,5586.94580078125,5546.7919921875,6421.22900390625,4175.53759765625,5321.9052734375,83330.0,0.013534764208175518
6036.92578125,7509.666015625,5623.861328125,5893.61328125,5566.31982421875,6163.43408203125,6846.59033203125,6862.03759765625,4985.82861328125,6074.86328125,99996.0,0.01624171704981062
6129.974609375,7102.6572265625,6163.23681640625,6286.958984375,5594.015625,6266.7294921875,7319.44677734375,7507.126953125,5556.37548828125,6409.03271484375,116662.0,0.018948669891445724
6549.208984375,8086.544921875,5957.45654296875,6554.34326171875,5975.095703125,5007.48046875,7979.26904296875,7830.29296875,5947.55419921875,6780.125,133328.0,0.021655622733080828
6635.42236328125,8001.50390625,6803.58349609375,6853.0595703125,5968.88134765625,6554.68603515625,8356.298828125,8448.166015625,5850.25,6772.634765625,149994.0,0.024362575574715932
6913.3310546875,8249.91796875,6911.294921875,6749.08447265625,6371.51416015625,7059.052734375,7700.80224609375,8651.349609375,6146.001953125,7327.34765625,166660.0,0.027069528416351036
7131.75927734375,8385.322265625,7168.404296875,7019.9052734375,6606.09716796875,7149.23095703125,8544.501953125,9132.2099609375,6237.068359375,7750.36328125,183326.0,0.02977648125798614
7171.39892578125,8261.49609375,7813.7529296875,7199.087890625,6639.81005859375,7124.34619140625,8771.330078125,9168.4765625,6497.2890625,8147.60400390625,199992.0,0.03248343409962124
7446.29345703125,8596.2353515625,7793.03515625,7525.978515625,6921.66943359375,7743.98681640625,9228.1943359375,8803.2197265625,6557.79150390625,8165.8525390625,216658.0,0.03519038694125635
7496.19091796875,8786.916015625,8361.25,7606.42333984375,7057.3779296875,7558.90625,9401.4169921875,9254.8974609375,6700.6025390625,8447.7998046875,233324.0,0.03789733978289145
7780.45849609375,8885.20703125,8590.0986328125,7767.705078125,6849.7646484375,8072.95556640625,9606.0966796875,8894.9345703125,6825.2890625,8318.7021484375,249990.0,0.040604292624526556
7800.51513671875,9210.1083984375,8608.09375,7703.56201171875,7246.33349609375,8448.306640625,9817.935546875,9564.5546875,6948.40185546875,8729.7353515625,266656.0,0.043311245466161656
7928.2255859375,9412.7265625,9321.0322265625,7883.7978515625,7373.1884765625,8256.7900390625,9540.505859375,9567.9921875,6958.8125,9023.8681640625,283322.0,0.04601819830779676
7872.0595703125,9403.5244140625,9473.0439453125,8354.271484375,7184.59521484375,8203.5908203125,9843.322265625,9750.9111328125,7103.23291015625,8738.68359375,299988.0,0.048725151149431864
8407.0029296875,9268.7275390625,9544.162109375,8174.11181640625,7541.89697265625,8166.171875,9583.1435546875,9852.3623046875,7351.61865234375,9256.568359375,316654.0,0.051432103991066964
8471.89453125,9294.5654296875,9744.087890625,8650.4990234375,7830.4970703125,8834.50390625,9678.2275390625,10058.501953125,7316.67919921875,9119.470703125,333320.0,0.05413905683270207
8407.1162109375,9542.5947265625,9919.2841796875,8629.1875,7815.17626953125,8801.056640625,10156.9990234375,9976.541015625,7524.43310546875,9502.8330078125,349986.0,0.05684600967433717
8577.0341796875,9563.1953125,9627.6240234375,8717.4296875,8276.95703125,9268.5908203125,10107.1357421875,9842.0869140625,7508.99169921875,9790.6806640625,366652.0,0.05955296251597228
8396.763671875,9890.2265625,10069.1552734375,9024.5966796875,8200.916015625,9364.0458984375,10259.8359375,10141.275390625,7426.61328125,9417.49609375,383318.0,0.06225991535760738
8728.6923828125,9261.0380859375,9980.0458984375,9108.482421875,8674.240234375,9750.5908203125,10491.1240234375,9978.58984375,7540.5419921875,9659.1396484375,399984.0,0.06496686819924248
8785.958984375,9763.1259765625,10011.720703125,9458.833984375,8561.6484375,9519.9873046875,10377.81640625,10448.1845703125,7583.828125,9589.671875,416650.0,0.06767382104087759
8917.6591796875,9968.525390625,10304.35546875,9255.841796875,8535.076171875,9597.193359375,10315.7041015625,10466.447265625,7786.12646484375,9459.7333984375,433316.0,0.0703807738825127
8846.9072265625,10146.1044921875,10097.0048828125,9544.7548828125,8605.8505859375,9476.8837890625,10486.712890625,10093.0625,7795.03173828125,9596.6162109375,449982.0,0.07308772672414779
8727.712890625,9867.900390625,10069.0439453125,9250.298828125,9067.6689453125,10439.42578125,10312.6845703125,10226.5087890625,8001.89599609375,9050.138671875,466648.0,0.0757946795657829
