eval/return/kg4hz40h,eval/return/jqc6fsts,eval/return/5rrdxbrm,eval/return/4iu365gm,eval/return/38noq2ck,eval/return/945metce,eval/return/ufj2xxmf,eval/return/snq73tnv,eval/return/scsto9k5,eval/return/oais0lzl,step,wallclock
-2.788170099258423,-32.439964294433594,-4.810935020446777,-2.3406150341033936,-10.367463111877441,-2.58034610748291,-8.909712791442871,0.9644759893417358,-17.151126861572266,9.415687561035156,1.0,0.0
68.7563247680664,334.5282897949219,73.86697387695312,266.9255676269531,256.737548828125,60.76583480834961,329.0373840332031,313.3081359863281,55.43619918823242,176.7389373779297,16666.0,0.0030225423675996287
308.3106689453125,290.493408203125,-26.013351440429688,306.1422119140625,226.57640075683594,210.18641662597656,429.6558532714844,64.39099884033203,381.2492370605469,488.26025390625,33332.0,0.006045084735199257
335.0047607421875,468.3199768066406,463.0613708496094,125.80851745605469,501.311279296875,717.7411499023438,246.77479553222656,308.03887939453125,350.4663391113281,325.2465515136719,49998.0,0.009067627102798886
271.3551940917969,677.7569580078125,26.762340545654297,507.9057922363281,2043.9461669921875,1385.9378662109375,380.5696716308594,407.8756408691406,508.9732971191406,575.1898193359375,66664.0,0.012090169470398515
593.3551025390625,587.8665161132812,518.4502563476562,879.3463134765625,868.528076171875,877.7160034179688,17.139677047729492,393.0463562011719,207.8811798095703,138.87924194335938,83330.0,0.015112711837998144
867.8561401367188,779.972900390625,1048.634765625,726.816162109375,796.1805419921875,960.1407470703125,593.2361450195312,261.3058166503906,420.3671875,444.9358825683594,99996.0,0.01813525420559777
2268.444091796875,145.69032287597656,798.6525268554688,750.3330688476562,1068.710693359375,734.1918334960938,502.3348693847656,516.6673583984375,665.4536743164062,957.3539428710938,116662.0,0.021157796573197402
383.15423583984375,1052.2799072265625,852.423828125,2103.355224609375,2039.790283203125,717.6619262695312,1229.8206787109375,493.6290283203125,906.5015869140625,519.7382202148438,133328.0,0.02418033894079703
1566.8197021484375,1245.05810546875,657.3304443359375,2999.385498046875,770.5667114257812,1176.3131103515625,1274.05859375,646.93408203125,892.7738647460938,812.4453125,149994.0,0.027202881308396657
1983.9287109375,2730.482421875,1523.85009765625,2683.03369140625,923.8494262695312,2800.6025390625,1253.1978759765625,632.8049926757812,899.4733276367188,854.22802734375,166660.0,0.030225423675996288
3541.73291015625,110.78819274902344,124.2278823852539,3147.85546875,2767.4736328125,1086.5906982421875,710.59033203125,904.9249267578125,1945.557861328125,377.833984375,183326.0,0.033247966043595915
3416.724609375,3142.689453125,163.26905822753906,3473.972412109375,2434.197509765625,3115.971435546875,1799.319580078125,64.63687133789062,931.9734497070312,913.8212280273438,199992.0,0.03627050841119554
3233.5322265625,2848.815185546875,2370.116455078125,3681.588134765625,349.7213439941406,1721.0750732421875,3329.0859375,209.2575225830078,3496.5400390625,872.9006958007812,216658.0,0.03929305077879517
3875.867919921875,3260.24658203125,2456.880126953125,793.8344116210938,1470.0037841796875,3652.653076171875,2950.616455078125,909.6577758789062,3476.875,425.8005676269531,233324.0,0.042315593146394805
3877.53564453125,3551.08740234375,1502.7606201171875,3124.84716796875,1832.6824951171875,1668.6705322265625,3385.78173828125,3697.725341796875,3614.486328125,1012.4910278320312,249990.0,0.04533813551399443
4582.9365234375,3494.814208984375,3144.69384765625,304.6695556640625,1807.6793212890625,3545.2265625,270.4802551269531,3858.789306640625,3866.1572265625,150.7738494873047,266656.0,0.04836067788159406
40.57692337036133,126.1097640991211,3606.440185546875,2100.21728515625,2795.28466796875,3813.893798828125,3767.417236328125,615.5783081054688,3818.47900390625,719.63916015625,283322.0,0.05138322024919369
1079.8885498046875,130.77822875976562,3584.36669921875,4207.3994140625,2951.259765625,390.5022888183594,3625.473388671875,4198.466796875,3688.942626953125,838.6600952148438,299988.0,0.054405762616793314
4272.74951171875,3567.203857421875,3745.075439453125,3958.14697265625,3968.797119140625,361.732666015625,2941.698974609375,199.15428161621094,3584.558349609375,807.4581909179688,316654.0,0.05742830498439295
4378.31787109375,3536.541259765625,3654.88525390625,4263.76611328125,4016.011962890625,1495.605712890625,3186.814697265625,4146.3564453125,3815.53564453125,889.3540649414062,333320.0,0.060450847351992576
4293.4765625,3599.669189453125,2491.438232421875,4211.37451171875,3886.109619140625,348.5107727050781,3844.73876953125,4308.86962890625,3953.120849609375,344.2569580078125,349986.0,0.0634733897195922
3971.001953125,3712.256103515625,1199.4552001953125,3701.219482421875,3127.52099609375,3939.544189453125,3931.053466796875,4195.74072265625,3780.980224609375,671.1406860351562,366652.0,0.06649593208719183
-2.808518886566162,3755.607666015625,3696.646728515625,4691.30712890625,4214.40087890625,4079.278564453125,3991.5625,4479.1513671875,4008.74560546875,960.6351928710938,383318.0,0.06951847445479147
997.1814575195312,3705.515625,3805.435791015625,4596.7841796875,4221.82470703125,4021.604736328125,4013.305908203125,4630.55712890625,3999.786865234375,833.499755859375,399984.0,0.07254101682239109
4477.087890625,3765.38330078125,3747.048583984375,4796.62060546875,103.7540283203125,4284.09765625,4152.41748046875,2374.432373046875,3144.451416015625,1271.1956787109375,416650.0,0.07556355918999072
4256.98388671875,3808.81005859375,3742.007080078125,4600.50244140625,4389.669921875,4088.544677734375,4155.69482421875,4526.025390625,142.62010192871094,1198.6514892578125,433316.0,0.07858610155759034
4682.35498046875,3855.81591796875,419.6668701171875,4440.31005859375,2374.132080078125,4053.606689453125,3834.0078125,4691.41845703125,4023.8037109375,943.2268676757812,449982.0,0.08160864392518997
4693.3251953125,3973.447509765625,1244.357421875,3553.190673828125,108.97509765625,3997.48828125,4165.31591796875,4748.43701171875,4058.9423828125,855.607666015625,466648.0,0.08463118629278961
4441.8046875,3614.1875,3796.70166015625,4006.00634765625,2733.798828125,4098.4619140625,3947.509521484375,4800.4375,4118.7197265625,3253.92236328125,483314.0,0.08765372866038923
4769.34521484375,3723.225830078125,3863.343994140625,4143.28369140625,3236.3583984375,349.98956298828125,3758.147216796875,4573.61474609375,4087.96240234375,3521.5556640625,499980.0,0.09067627102798886
4417.53125,3784.73779296875,3872.2666015625,4187.82275390625,4456.4462890625,4032.013671875,4211.43505859375,4679.62060546875,4041.8232421875,3456.827880859375,516646.0,0.09369881339558848
4558.21435546875,3683.36962890625,3905.89892578125,4668.73828125,4596.06201171875,4380.75341796875,4343.2880859375,4938.67822265625,4064.5869140625,3344.378173828125,533312.0,0.09672135576318812
4476.78369140625,3786.78369140625,3785.653076171875,4861.96923828125,4303.72900390625,4208.3935546875,4147.4296875,5138.744140625,4183.31689453125,1459.4930419921875,549978.0,0.09974389813078775
4668.76416015625,3674.117431640625,3679.285888671875,4736.00634765625,4237.73486328125,4497.8642578125,4154.54443359375,157.41677856445312,4084.777099609375,3738.29345703125,566644.0,0.10276644049838737
4511.1015625,3819.78076171875,650.466796875,4888.6279296875,4540.796875,4334.8251953125,4115.99462890625,4967.73828125,4126.76416015625,3167.98681640625,583310.0,0.10578898286598701
4557.7001953125,3661.38671875,3639.643798828125,4799.4833984375,4607.71923828125,4424.37939453125,4162.14990234375,4821.7333984375,4221.47314453125,3555.68310546875,599976.0,0.10881152523358663
4750.6025390625,3864.203125,3752.863525390625,4070.74658203125,4766.263671875,4251.400390625,4022.728271484375,4816.5419921875,4256.89306640625,2321.054931640625,616642.0,0.11183406760118626
4307.15380859375,3737.664306640625,380.171142578125,4982.07080078125,4774.62451171875,4311.05419921875,4282.36962890625,4966.81396484375,4266.10302734375,4065.47314453125,633308.0,0.1148566099687859
4456.982421875,3710.76025390625,2065.193359375,3231.138916015625,4570.6630859375,4445.2587890625,4140.716796875,5253.61865234375,4125.48583984375,3936.01416015625,649974.0,0.11787915233638552
4559.64794921875,3929.346923828125,3790.85302734375,4882.5380859375,4770.90869140625,4476.1083984375,4302.06982421875,4756.09375,4153.3642578125,3948.146728515625,666640.0,0.12090169470398515
4776.14453125,3740.21533203125,3798.441162109375,4284.6943359375,4791.25732421875,4312.36767578125,4206.61572265625,4935.595703125,4184.552734375,3969.512939453125,683306.0,0.12392423707158477
4647.205078125,3867.14111328125,4041.199951171875,4899.46435546875,4950.16943359375,4191.2099609375,4361.95947265625,5189.24072265625,4190.80859375,3902.96044921875,699972.0,0.1269467794391844
4606.46435546875,3806.74365234375,3826.403076171875,187.3822784423828,4685.63134765625,4427.9111328125,4262.3720703125,5200.2744140625,4299.779296875,2301.36083984375,716638.0,0.12996932180678403
4658.22119140625,3664.3251953125,3925.19921875,5000.3623046875,4814.71826171875,4292.19580078125,3728.693603515625,4595.8671875,4113.28857421875,4094.066650390625,733304.0,0.13299186417438366
4705.47021484375,3871.104248046875,3836.69482421875,4996.8662109375,4697.626953125,4443.8095703125,4323.82470703125,5385.25,4259.61572265625,4050.93408203125,749970.0,0.1360144065419833
4775.4501953125,3790.236328125,3936.5595703125,4617.97607421875,4852.10986328125,4296.17919921875,4344.80322265625,4915.1123046875,4268.8505859375,4289.36328125,766636.0,0.13903694890958293
5036.9521484375,3760.664794921875,3932.52783203125,5064.68603515625,4857.57763671875,4288.93310546875,4409.92626953125,4825.77880859375,4294.60888671875,4262.0244140625,783302.0,0.14205949127718254
4794.40625,3859.63818359375,3847.39501953125,5005.3505859375,4730.83740234375,4492.443359375,4301.11962890625,5112.48974609375,4234.49169921875,4242.45361328125,799968.0,0.14508203364478217
4788.71484375,3837.461669921875,3855.73095703125,5099.6689453125,4960.73681640625,4498.658203125,4547.66552734375,5183.375,4336.607421875,4125.470703125,816634.0,0.1481045760123818
4918.2373046875,3857.1171875,3986.95703125,5061.2548828125,4883.28076171875,4450.26953125,4256.158203125,4924.470703125,4324.45263671875,4254.109375,833300.0,0.15112711837998144
4953.2431640625,3895.63427734375,3904.15625,2466.475341796875,4782.73193359375,4400.44384765625,4402.10205078125,5280.0390625,4264.8935546875,4107.9580078125,849966.0,0.15414966074758107
272.4366149902344,3893.8759765625,4061.7119140625,5067.67431640625,4781.79833984375,4522.07275390625,4439.37646484375,5264.642578125,4230.05126953125,4023.225830078125,866632.0,0.15717220311518068
4921.96875,4066.35205078125,3718.070068359375,5050.390625,4819.529296875,4435.84619140625,4315.40673828125,5115.2529296875,4243.25634765625,4332.49462890625,883298.0,0.16019474548278032
4876.76416015625,3866.459228515625,3623.590087890625,5128.080078125,4983.853515625,4332.20068359375,4199.5185546875,5323.33154296875,4181.73681640625,4536.8701171875,899964.0,0.16321728785037995
5070.03759765625,3777.1845703125,4142.1064453125,5037.490234375,4808.603515625,4385.8154296875,4428.630859375,5115.58837890625,4297.28955078125,4232.59326171875,916630.0,0.16623983021797958
4976.568359375,3833.435546875,4049.555908203125,5190.1162109375,4931.82421875,4615.98388671875,4425.400390625,5237.6513671875,4309.20751953125,4272.5341796875,933296.0,0.16926237258557922
4855.896484375,4014.520751953125,4220.55322265625,5080.91015625,4916.193359375,4530.91845703125,4386.03125,5017.80810546875,4243.28466796875,4507.83837890625,949962.0,0.17228491495317882
4998.44580078125,3927.60986328125,3973.494140625,4980.6513671875,4912.93505859375,4529.3515625,4168.53759765625,5097.37158203125,4335.6806640625,4370.10400390625,966628.0,0.17530745732077846
