eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
144598.5625,146004.234375,136786.4375,141870.28125,142784.375,136163.984375,129807.15625,149397.203125,141076.515625,147406.265625,216658.0,0.06453743008673192
137511.46875,145968.65625,137096.28125,142103.5625,141838.328125,138755.796875,130078.171875,155104.375,141661.734375,147834.78125,233324.0,0.0695018477857113
137856.1875,145531.359375,153901.1875,142089.46875,143543.984375,136415.765625,129997.8203125,148162.953125,142155.109375,148028.015625,249990.0,0.07446626548469068
135345.109375,146508.546875,150545.609375,142160.1875,142397.5,136787.0625,133903.734375,155689.859375,141916.703125,148383.109375,266656.0,0.07943068318367005
134602.0625,127932.34375,144676.125,141738.5625,141034.46875,137637.90625,138073.4375,150149.75,139364.296875,148134.484375,283322.0,0.08439510088264943
145935.015625,99084.6171875,131021.6171875,140489.328125,141365.375,138351.46875,134356.453125,154560.265625,142993.734375,147867.9375,299988.0,0.08935951858162881
146112.796875,144856.953125,151286.046875,142030.96875,140911.25,136020.359375,139327.8125,146277.9375,142529.578125,147553.15625,316654.0,0.09432393628060819
153333.359375,145708.71875,154432.5,142234.171875,144501.5625,136039.78125,138498.390625,157010.8125,142592.328125,148353.671875,333320.0,0.09928835397958757
144359.8125,144337.890625,143752.0,141833.140625,142409.3125,136596.15625,138863.09375,157088.578125,142849.0625,148046.71875,349986.0,0.10425277167856695
137760.53125,116356.9375,150019.0625,142290.265625,140952.984375,137532.296875,138822.234375,155904.140625,150700.265625,148380.421875,366652.0,0.10921718937754632
145519.40625,144279.546875,151138.578125,141863.390625,140086.8125,137281.0,139184.65625,155002.859375,154833.359375,147310.625,383318.0,0.1141816070765257
133198.921875,145467.34375,147398.0,142170.984375,141489.84375,131329.546875,148370.03125,155269.296875,136214.65625,148098.546875,399984.0,0.11914602477550508
152749.25,144555.15625,151225.5625,142345.25,141706.03125,144946.015625,150235.484375,155172.5,155594.953125,147966.765625,416650.0,0.12411044247448445
156433.0,144124.4375,152247.625,141971.109375,144484.90625,144377.90625,150232.875,156889.78125,156095.40625,148071.796875,433316.0,0.12907486017346384
142648.328125,145080.78125,152993.5625,142345.703125,145522.578125,144636.546875,151537.34375,157304.234375,157753.875,148127.921875,449982.0,0.1340392778724432
